"","sigma","mu1","mu2","delta","co.fracELT","co.fracERT","co.fracsym","co.meanELT","co.meanERT","co.meansym","co.numELT","co.numERT","co.numsym"
"92",0.4,0.9,0.9,0.3,0.9919468,0.9925284,0.9922353,4057.88187798799,3646.10753700165,2624.89130291695,249.7,279.6,389.4
"93",0.4,0.9,0.9,0.4,0.9655194,0.962904,0.9614597,902.568334489025,902.468655100401,563.234802868009,1074.6,1073.8,1710.7
"94",0.4,0.9,0.9,0.5,0.9007871,0.900792,0.9020777,362.930324535352,363.777700977929,252.064717686423,2484.1,2486.8,3592.8
"95",0.4,0.9,0.9,0.6,0.799621,0.7972164,0.7972273,203.232875157992,194.453506527833,132.123890482912,3943.4,4105.7,6040.4
"96",0.4,0.9,0.9,0.7,0.6692367,0.6630767,0.6654649,129.655958522584,130.159891128246,86.4177350779552,5171.6,5096.5,7706.7
"97",0.4,0.9,0.9,0.8,0.4941021,0.4894256,0.497494,91.7699063218758,91.6370792298637,62.9842636843856,5386,5342.2,7908.9
"98",0.4,0.9,0.9,0.9,0.2763725,0.2774494,0.2868177,70.0932085632817,69.9388642669342,48.5847993286882,3944.4,3976.5,5900.8
"99",0.4,0.9,0.9,1,0.027629,0.0292233,0.0271068,58.2540277949618,56.5721763064383,41.8125226481991,498.2,504.8,695.1
"100",0.8,0.1,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"101",0.8,0.1,0.1,0.1,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"102",0.8,0.1,0.1,0.2,0.9995609,0.999706,0.9995548,44545.0089043432,40551.2028733579,23977.0024853935,27,27,47.6
"103",0.8,0.1,0.1,0.3,0.9918979,0.9924136,0.9922372,1965.06389115951,2024.93504177271,1278.22232876589,508,492.8,781.6
"104",0.8,0.1,0.1,0.4,0.9618387,0.9631208,0.9607422,450.434411186146,457.187389869594,297.179375597744,2138.6,2111.5,3241.9
"105",0.8,0.1,0.1,0.5,0.9024169,0.8997181,0.90298,189.913074145908,188.597389711749,124.456400999255,4754.5,4773.8,7262.5
"106",0.8,0.1,0.1,0.6,0.8051599,0.8033538,0.801433,102.979413474602,102.206672091072,68.5851345036553,7820.4,7862.1,11688.8
"107",0.8,0.1,0.1,0.7,0.6706559,0.6685092,0.6649462,65.6934334703435,65.943027131578,43.9862855621211,10211.1,10141.3,15120.3
"108",0.8,0.1,0.1,0.8,0.4978303,0.4955348,0.4919626,46.5325252923932,46.5681225036765,31.1183728269353,10699.9,10644.1,15811.8
"109",0.8,0.1,0.1,0.9,0.2825722,0.2826886,0.2734778,35.1569362701073,35.3681039706877,23.6173827474816,8038.2,7995.9,11577.1
